"","point_latitude","point_longitude","value","start_time","id"
"1",50.8507,4.5982,32.23375,"2020-01-01 00:00:00","1"
"2",50.855,4.696,34.674,"2020-01-01 00:00:00","2"
"3",50.8562,4.6857,28.0191666666667,"2020-01-01 00:00:00","3"
"4",50.8568,4.6856,31.1848,"2020-01-01 00:00:00","4"
"5",50.8577,4.6984,54.9470833333333,"2020-01-01 00:00:00","5"
"6",50.858,4.693,35.2245833333333,"2020-01-01 00:00:00","6"
"7",50.8607,4.6985,25.6816,"2020-01-01 00:00:00","7"
"8",50.8616,4.7115,32.1068,"2020-01-01 00:00:00","8"
"9",50.8617,4.7134,42.395,"2020-01-01 00:00:00","9"
"10",50.8642,4.6799,34.6244,"2020-01-01 00:00:00","10"
"11",50.8668,4.7105,31.192,"2020-01-01 00:00:00","11"
"12",50.8676,4.7227,29.0054166666667,"2020-01-01 00:00:00","12"
"13",50.8677,4.7002,18.1816,"2020-01-01 00:00:00","13"
"14",50.869,4.6961,32.1109523809524,"2020-01-01 00:00:00","14"
"15",50.8693,4.7019,25.8613636363636,"2020-01-01 00:00:00","15"
"16",50.8697,4.7071,36.3470833333333,"2020-01-01 00:00:00","16"
"17",50.8706,4.6052,29.404,"2020-01-01 00:00:00","17"
"18",50.8718,4.7148,30.0044,"2020-01-01 00:00:00","18"
"19",50.8719,4.7131,38.9008333333333,"2020-01-01 00:00:00","19"
"20",50.8723,4.7308,33.2285,"2020-01-01 00:00:00","20"
"21",50.8724,4.7167,27.3554166666667,"2020-01-01 00:00:00","21"
"22",50.8727,4.7118,39.9758333333333,"2020-01-01 00:00:00","22"
"23",50.8727,4.7315,26.7830434782609,"2020-01-01 00:00:00","23"
"24",50.873,4.7112,35.8468,"2020-01-01 00:00:00","24"
"25",50.8732,4.6982,60.8345833333333,"2020-01-01 00:00:00","25"
"26",50.8756,4.7145,34.6285714285714,"2020-01-01 00:00:00","26"
"27",50.8758,4.721,28.4829166666667,"2020-01-01 00:00:00","27"
"28",50.8758,4.7367,24.5745833333333,"2020-01-01 00:00:00","28"
"29",50.8763,4.6908,29.3,"2020-01-01 00:00:00","29"
"30",50.8765,4.7386,43.77,"2020-01-01 00:00:00","30"
"31",50.8775,4.741,23.25875,"2020-01-01 00:00:00","31"
"32",50.8821,4.719,22.1526530612245,"2020-01-01 00:00:00","32"
"33",50.8825,4.7304,29.5295833333333,"2020-01-01 00:00:00","33"
"34",50.8834,4.6989,31.8025,"2020-01-01 00:00:00","34"
"35",50.8859,4.6934,28.7068,"2020-01-01 00:00:00","35"
"36",50.8861,4.6979,31.45625,"2020-01-01 00:00:00","36"
"37",50.8876,4.7501,41.1504,"2020-01-01 00:00:00","37"
"38",50.8891,4.7445,31.8052,"2020-01-01 00:00:00","38"
"39",50.8894,4.7231,41.5664,"2020-01-01 00:00:00","39"
"40",50.8895,4.7306,24.55,"2020-01-01 00:00:00","40"
"41",50.89,4.7214,25.3,"2020-01-01 00:00:00","41"
"42",50.8903,4.7234,36.3284,"2020-01-01 00:00:00","42"
"43",50.8908,4.726,25.9968,"2020-01-01 00:00:00","43"
"44",50.8922,4.696,30.1708,"2020-01-01 00:00:00","44"
"45",50.8923,4.6923,31.827,"2020-01-01 00:00:00","45"
"46",50.8948,4.7019,34.928,"2020-01-01 00:00:00","46"
"47",50.8994,4.7193,28.0972,"2020-01-01 00:00:00","47"
"48",50.9003,4.6477,51.8066666666667,"2020-01-01 00:00:00","48"
"49",50.9009,4.6957,30.1591666666667,"2020-01-01 00:00:00","49"
"50",50.901,4.6726,40.6420833333333,"2020-01-01 00:00:00","50"
"51",50.9044,4.6942,33.2488,"2020-01-01 00:00:00","51"
"52",50.9062,4.7002,22.9996,"2020-01-01 00:00:00","52"
"53",50.9087,4.6622,14.2952,"2020-01-01 00:00:00","53"
"54",50.9186,4.6873,41.8371428571429,"2020-01-01 00:00:00","54"
"55",50.9477,4.8329,30.1981818181818,"2020-01-01 00:00:00","55"
"56",50.8507,4.5982,32.5933333333333,"2020-01-01 01:00:00","56"
"57",50.855,4.696,30.27875,"2020-01-01 01:00:00","57"
"58",50.8562,4.6857,23.2179166666667,"2020-01-01 01:00:00","58"
"59",50.8568,4.6856,28.2654166666667,"2020-01-01 01:00:00","59"
"60",50.8577,4.6984,49.0925,"2020-01-01 01:00:00","60"
"61",50.858,4.693,33.31,"2020-01-01 01:00:00","61"
"62",50.8607,4.6985,22.2666666666667,"2020-01-01 01:00:00","62"
"63",50.8616,4.7115,29.5165217391304,"2020-01-01 01:00:00","63"
"64",50.8617,4.7134,40.1020833333333,"2020-01-01 01:00:00","64"
"65",50.8642,4.6799,32.2575,"2020-01-01 01:00:00","65"
"66",50.8668,4.7105,30.2366666666667,"2020-01-01 01:00:00","66"
"67",50.8676,4.7227,26.7133333333333,"2020-01-01 01:00:00","67"
"68",50.8677,4.7002,18.0478260869565,"2020-01-01 01:00:00","68"
"69",50.869,4.6961,30.7240909090909,"2020-01-01 01:00:00","69"
"70",50.8693,4.7019,24.877619047619,"2020-01-01 01:00:00","70"
"71",50.8697,4.7071,34.9141666666667,"2020-01-01 01:00:00","71"
"72",50.8706,4.6052,29.35625,"2020-01-01 01:00:00","72"
"73",50.8718,4.7148,27.695,"2020-01-01 01:00:00","73"
"74",50.8719,4.7131,36.2356,"2020-01-01 01:00:00","74"
"75",50.8723,4.7308,30.5518181818182,"2020-01-01 01:00:00","75"
"76",50.8724,4.7167,25.3348,"2020-01-01 01:00:00","76"
"77",50.8727,4.7118,37.254,"2020-01-01 01:00:00","77"
"78",50.8727,4.7315,44.525652173913,"2020-01-01 01:00:00","78"
"79",50.873,4.7112,35.5170833333333,"2020-01-01 01:00:00","79"
"80",50.8732,4.6982,36.8754166666667,"2020-01-01 01:00:00","80"
"81",50.8756,4.7145,31.8876470588235,"2020-01-01 01:00:00","81"
"82",50.8758,4.721,26.0665217391304,"2020-01-01 01:00:00","82"
"83",50.8758,4.7367,22.64,"2020-01-01 01:00:00","83"
"84",50.8763,4.6908,27.281,"2020-01-01 01:00:00","84"
"85",50.8765,4.7386,38.815,"2020-01-01 01:00:00","85"
"86",50.8775,4.741,21.845,"2020-01-01 01:00:00","86"
"87",50.8821,4.719,22.1333333333333,"2020-01-01 01:00:00","87"
"88",50.8825,4.7304,30.8064,"2020-01-01 01:00:00","88"
"89",50.8834,4.6989,29.1369565217391,"2020-01-01 01:00:00","89"
"90",50.8859,4.6934,25.0304166666667,"2020-01-01 01:00:00","90"
"91",50.8861,4.6979,29.9278260869565,"2020-01-01 01:00:00","91"
"92",50.8876,4.7501,38.5804166666667,"2020-01-01 01:00:00","92"
"93",50.8891,4.7445,29.25875,"2020-01-01 01:00:00","93"
"94",50.8894,4.7231,39.4379166666667,"2020-01-01 01:00:00","94"
"95",50.8895,4.7306,25.1,"2020-01-01 01:00:00","95"
"96",50.89,4.7214,24.5733333333333,"2020-01-01 01:00:00","96"
"97",50.8903,4.7234,34.9158333333333,"2020-01-01 01:00:00","97"
"98",50.8908,4.726,25.4858333333333,"2020-01-01 01:00:00","98"
"99",50.8922,4.696,30.6591666666667,"2020-01-01 01:00:00","99"
"100",50.8923,4.6923,30.6760714285714,"2020-01-01 01:00:00","100"
"101",50.8948,4.7019,34.1416666666667,"2020-01-01 01:00:00","101"
"102",50.8994,4.7193,26.89,"2020-01-01 01:00:00","102"
"103",50.9003,4.6477,48.50625,"2020-01-01 01:00:00","103"
"104",50.9009,4.6957,28.0845833333333,"2020-01-01 01:00:00","104"
"105",50.901,4.6726,37.0068,"2020-01-01 01:00:00","105"
"106",50.9044,4.6942,31.4183333333333,"2020-01-01 01:00:00","106"
"107",50.9062,4.7002,22.4066666666667,"2020-01-01 01:00:00","107"
"108",50.9087,4.6622,13.76125,"2020-01-01 01:00:00","108"
"109",50.9186,4.6873,43.3491666666667,"2020-01-01 01:00:00","109"
"110",50.9477,4.8329,33.6128,"2020-01-01 01:00:00","110"
"111",50.8507,4.5982,26.0316666666667,"2020-01-01 02:00:00","111"
"112",50.855,4.696,26.1066666666667,"2020-01-01 02:00:00","112"
"113",50.8562,4.6857,19.9483333333333,"2020-01-01 02:00:00","113"
"114",50.8568,4.6856,24.24875,"2020-01-01 02:00:00","114"
"115",50.8577,4.6984,43.4624,"2020-01-01 02:00:00","115"
"116",50.858,4.693,30.12,"2020-01-01 02:00:00","116"
"117",50.8607,4.6985,20.5108333333333,"2020-01-01 02:00:00","117"
"118",50.8616,4.7115,25.7904166666667,"2020-01-01 02:00:00","118"
"119",50.8617,4.7134,31.5595833333333,"2020-01-01 02:00:00","119"
"120",50.8642,4.6799,29.2070833333333,"2020-01-01 02:00:00","120"
"121",50.8668,4.7105,25.3258333333333,"2020-01-01 02:00:00","121"
"122",50.8676,4.7227,21.606,"2020-01-01 02:00:00","122"
"123",50.8677,4.7002,14.6870833333333,"2020-01-01 02:00:00","123"
"124",50.869,4.6961,25.0426315789474,"2020-01-01 02:00:00","124"
"125",50.8693,4.7019,19.3531818181818,"2020-01-01 02:00:00","125"
"126",50.8697,4.7071,28.2576,"2020-01-01 02:00:00","126"
"127",50.8706,4.6052,23.5928,"2020-01-01 02:00:00","127"
"128",50.8718,4.7148,23.9791666666667,"2020-01-01 02:00:00","128"
"129",50.8719,4.7131,30.6670833333333,"2020-01-01 02:00:00","129"
"130",50.8723,4.7308,27.0641666666667,"2020-01-01 02:00:00","130"
"131",50.8724,4.7167,22.6366666666667,"2020-01-01 02:00:00","131"
"132",50.8727,4.7118,33.5929166666667,"2020-01-01 02:00:00","132"
"133",50.8727,4.7315,19.1859090909091,"2020-01-01 02:00:00","133"
"134",50.873,4.7112,31.1716666666667,"2020-01-01 02:00:00","134"
"135",50.8732,4.6982,26.6972,"2020-01-01 02:00:00","135"
"136",50.8756,4.7145,29.79875,"2020-01-01 02:00:00","136"
"137",50.8758,4.721,27.0212,"2020-01-01 02:00:00","137"
"138",50.8758,4.7367,21.1268,"2020-01-01 02:00:00","138"
"139",50.8763,4.6908,22.1675,"2020-01-01 02:00:00","139"
"140",50.8765,4.7386,40.07,"2020-01-01 02:00:00","140"
"141",50.8775,4.741,21.6376,"2020-01-01 02:00:00","141"
"142",50.8821,4.719,19.9142857142857,"2020-01-01 02:00:00","142"
"143",50.8825,4.7304,29.7320833333333,"2020-01-01 02:00:00","143"
"144",50.8834,4.6989,30.754347826087,"2020-01-01 02:00:00","144"
"145",50.8859,4.6934,27.8020833333333,"2020-01-01 02:00:00","145"
"146",50.8861,4.6979,28.1490909090909,"2020-01-01 02:00:00","146"
"147",50.8876,4.7501,37.8336,"2020-01-01 02:00:00","147"
"148",50.8891,4.7445,28.5129166666667,"2020-01-01 02:00:00","148"
"149",50.8894,4.7231,35.49,"2020-01-01 02:00:00","149"
"150",50.8895,4.7306,22.47,"2020-01-01 02:00:00","150"
"151",50.89,4.7214,21.85,"2020-01-01 02:00:00","151"
"152",50.8903,4.7234,33.1333333333333,"2020-01-01 02:00:00","152"
"153",50.8908,4.726,22.26875,"2020-01-01 02:00:00","153"
"154",50.8922,4.696,26.6620833333333,"2020-01-01 02:00:00","154"
"155",50.8948,4.7019,30.2191666666667,"2020-01-01 02:00:00","155"
"156",50.8994,4.7193,24.3464,"2020-01-01 02:00:00","156"
"157",50.9003,4.6477,42.6972,"2020-01-01 02:00:00","157"
"158",50.9009,4.6957,24.5576,"2020-01-01 02:00:00","158"
"159",50.901,4.6726,33.5804166666667,"2020-01-01 02:00:00","159"
"160",50.9044,4.6942,28.2412,"2020-01-01 02:00:00","160"
"161",50.9062,4.7002,19.1925,"2020-01-01 02:00:00","161"
"162",50.9087,4.6622,12.6496,"2020-01-01 02:00:00","162"
"163",50.9186,4.6873,43.1582608695652,"2020-01-01 02:00:00","163"
"164",50.9477,4.8329,31.3658333333333,"2020-01-01 02:00:00","164"
"165",50.8507,4.5982,24.0069565217391,"2020-01-01 03:00:00","165"
"166",50.855,4.696,20.4918181818182,"2020-01-01 03:00:00","166"
"167",50.8562,4.6857,22.2904166666667,"2020-01-01 03:00:00","167"
